raw_text,severity,binary_label,%_swear_words
"Und pinkelt dann vorne über die Brille, die Sau ! :-)",1.0,True,9.090909090909092
der menschenschrott darf alles,1.0,True,0.0
"Das gute daran ,dieses pack legt sich selber um",1.0,True,0.0
Und solches PACK soll Integriert werden ? Na prost Mahlzeit.,0.5,True,0.0
"Bei der geistigen Umnachtung der deutschen Bundeskanzlerin, wäre ihr auch diese Variante zuzutrauen.",0.5,True,0.0
"Der Typ ist lustig :)  Das Motto von Ferkel und auch Schweden ist doch: Wir schaffen das, eeeehhh... ihr!",1.0,True,10.526315789473685
Bei soviel Dummheit bin ich sprachlos.,0.5,True,0.0
Wenn der Maas das Maul aufmacht ist das schon Köperverletzung und Volksverrat.,1.0,True,0.0
"Naja, dann hat das Wort Lügenpresse durchaus Berechtigung.",0.5,True,0.0
"Wenn sie gesagt hätte: """"#Domian´, ich hasse dich"""" hätten sie alle abgefeiert... :-(  #GEZ #wdr #1live #koelnhbf #rapefugees",0.5,True,0.0
"Alice versaut sich zwar gerade die Karriere bei der BLÖD-Zeitung, aber wo sie Recht hat, hat sie Recht.",0.5,True,0.0
97ad6f02b6697407 ich wer total Amok gelaufen jeden abgestochen von den Feigen Pissern nur in der Gruppe stark in Frankreich knallt es auch bald,1.0,True,0.0
"Der soll froh sein , dass ich nicht die Mutter des Mädchens war. Da hätte man auch keine Polizei mehr rufen müssen. Gerichtsmediziner hätte gereicht. Ne geht gar nicht sowas. Sich an Kindern vergreifen ist das allerletzte",1.0,True,0.0
Merkel ist Geisteskrank Sie führt Deutschland in den Abgrund,1.0,True,0.0
"Kinderfickende, schächtende #rapefugees! Wer Kinder-, Frauen-, oder Tierrechte verteidigt, darf nicht #gruene #spd oder #cdu wählen! #ltwbw",1.0,True,0.0
"KLARSTELLUNG ZUR VERTUSCHUNG DER WAREN GRÜNDE , DURCH DIE LÜGENPOLITIK und IHRE LÜGENMEDIEN, 
FÜR PEGIDA !!!",0.5,True,0.0
"Militär an die Grenze,und Grenzen dicht. Aber sofort! Sind die Politiker hier vollkommen verblödet und merken nich was sie aus unserem Vaterland machen?! Was hat die Merkel mit ihren Vasallen denn für einen politischen Auftrag...Deutschland fertig zu machen?",1.0,True,0.0
"Bleibt standhaft gegen
Der Verbrecherbande",0.5,True,0.0
"Dumm,dümmer ,Regierung!Die regierenden könnten doch keinen Tag in der freien Wirtschaft überleben!!!",1.0,True,0.0
Diese Wichser bekommen bald den Zorn des Volkes zu spüren aber dann Gnade euch Gott.,1.0,True,6.666666666666667
Ich bin für die #Schweinefleischpflicht !!! Hilft gegen die #Islamisierung !!!,0.5,True,0.0
War nur eine Frage der Zeit bis die Stasi-F*tze  Anetta Kahane zuschlägt.,1.0,True,0.0
"Armes Deutschland. Alle die mich schreien das die in unser Land kommen sollen, die alle gehören ausgewiesen. Wahnsinn das es noch solche idioten gibt. Armes Deutschland",0.5,True,0.0
